0	14733	
1	14729	
2	14734	
3	14734	
4	14733	
5	14728	
6	14735	
7	14735	
8	14728	
9	14722	
10	14716	
11	14725	
12	14731	
13	14737	
14	14734	
15	14735	
16	14734	
17	14735	
18	14733	
19	14734	
20	14734	
21	14734	
22	14729	
23	14733	
24	14731	
25	14730	
26	14735	
27	14733	
28	14735	
29	14732	
30	14727	
31	14735	
32	14732	
33	14736	
34	14735	
35	14734	
36	14729	
37	14734	
38	14734	
39	14736	
40	14733	
41	14738	
42	14739	
43	14738	
44	14737	
45	14731	
46	14734	
47	14736	
48	14732	
49	14729	
50	14733	
51	14734	
52	14736	
53	14734	
54	14732	
55	14731	
56	14739	
57	14734	
58	14734	
59	14735	
60	14731	
61	14737	
62	14731	
63	14735	
64	14732	
65	14736	
66	14735	
67	14735	
68	14735	
69	14732	
70	14734	
71	14738	
72	14736	
73	14734	
74	14734	
75	14737	
76	14730	
77	14741	
78	14732	
79	14735	
80	14737	
81	14732	
82	14738	
83	14735	
84	14735	
85	14733	
86	14733	
87	14732	
88	14732	
89	14731	
90	14735	
91	14731	
92	14738	
93	14728	
94	14733	
95	14735	
96	14732	
97	14733	
98	14729	
99	14734	
100	14730	
101	14737	
102	14732	
103	14731	
104	14733	
105	14733	
106	14735	
107	14737	
108	14738	
109	14733	
110	14733	
111	14737	
112	14732	
113	14735	
114	14732	
115	14732	
116	14731	
117	14736	
118	14732	
119	14728	
120	14735	
121	14734	
122	14734	
123	14734	
124	14735	
125	14732	
126	14731	
127	14734	
128	14732	
129	14737	
130	14734	
131	14730	
132	14734	
133	14733	
134	14732	
135	14733	
136	14735	
137	14732	
138	14733	
139	14732	
140	14737	
141	14728	
142	14734	
143	14737	
144	14733	
145	14730	
146	14731	
147	14731	
148	14740	
149	14739	
150	14738	
151	14730	
152	14733	
153	14732	
154	14733	
155	14735	
156	14730	
157	14731	
158	14733	
159	14734	
160	14740	
161	14731	
162	14736	
163	14735	
164	14734	
165	14735	
166	14734	
167	14735	
168	14738	
169	14734	
170	14736	
171	14735	
172	14738	
173	14736	
174	14732	
175	14733	
176	14736	
177	14734	
178	14732	
179	14732	
180	14733	
181	14733	
182	14736	
183	14734	
184	14739	
185	14733	
186	14735	
187	14731	
188	14740	
189	14734	
190	14731	
191	14732	
192	14735	
193	14732	
194	14733	
195	14732	
196	14732	
197	14732	
198	14734	
199	14735	
200	14731	
201	14737	
202	14730	
203	14736	
204	14733	
205	14736	
206	14733	
207	14736	
208	14734	
209	14731	
210	14733	
211	14736	
212	14732	
213	14732	
214	14735	
215	14734	
216	14733	
217	14734	
218	14737	
219	14736	
220	14733	
221	14733	
222	14733	
223	14731	
224	14732	
225	14733	
226	14734	
227	14734	
228	14737	
229	14734	
230	14728	
231	14730	
232	14732	
233	14737	
234	14732	
235	14732	
236	14734	
237	14730	
238	14736	
239	14736	
240	14741	
241	14734	
242	14738	
243	14734	
244	14734	
245	14734	
246	14733	
247	14737	
248	14735	
249	14734	
250	14731	
251	14733	
252	14734	
253	14734	
254	14731	
255	14733	
256	14734	
257	14734	
258	14734	
259	14738	
260	14736	
261	14733	
262	14731	
263	14737	
264	14735	
265	14737	
266	14735	
267	14734	
268	14739	
269	14728	
270	14732	
271	14733	
272	14739	
273	14730	
274	14737	
275	14733	
276	14733	
277	14734	
278	14731	
279	14734	
280	14733	
281	14735	
